epoch,loss,lr,mean_io_u,precision,recall,val_loss,val_mean_io_u,val_precision,val_recall
0,0.5800252556800842,1e-04,0.17284618318080902,0.7486999034881592,0.8065111041069031,0.7285115122795105,0.18393094837665558,0.084043949842453,0.00046682715765200555
1,0.4979095160961151,1e-04,0.17284618318080902,0.7934572696685791,0.8445889949798584,0.831949770450592,0.18393094837665558,0.06096595525741577,3.506896609906107e-05
2,0.4665341377258301,1e-04,0.17284618318080902,0.8086143136024475,0.8612954616546631,1.5001330375671387,0.18393094837665558,0.0,0.0
3,0.40815290808677673,1e-04,0.17284618318080902,0.8421738147735596,0.8783267736434937,2.06185245513916,0.18393094837665558,0.0,0.0
4,0.3988073170185089,1e-04,0.1728462129831314,0.8541056513786316,0.874096691608429,3.8439855575561523,0.18393094837665558,0.0,0.0
5,0.3747941255569458,1e-04,0.17284618318080902,0.8677589893341064,0.8786131739616394,2.3095357418060303,0.18393094837665558,1.0,3.871249646181241e-06
6,0.31908896565437317,1e-05,0.17284618318080902,0.8943250775337219,0.8970586657524109,1.5707597732543945,0.18393094837665558,0.9975365400314331,0.028954213485121727
7,0.28383299708366394,1e-05,0.17284618318080902,0.9095672369003296,0.9103979468345642,1.1067423820495605,0.18393094837665558,0.9410097002983093,0.20395518839359283
8,0.2823076844215393,1e-05,0.17284618318080902,0.908210039138794,0.9156301021575928,0.7115679979324341,0.18393094837665558,0.8432185649871826,0.5544251203536987
9,0.27264511585235596,1e-05,0.17284618318080902,0.9148508906364441,0.913977861404419,0.5570158958435059,0.18393094837665558,0.8285709023475647,0.7234333753585815
