epoch,loss,lr,mean_io_u,precision,recall,val_loss,val_mean_io_u,val_precision,val_recall
0,0.57056725025177,1e-04,0.17284618318080902,0.76077800989151,0.7991256713867188,0.7183687686920166,0.18393094837665558,0.18235468864440918,0.0013931944267824292
1,0.4690404534339905,1e-04,0.1728462129831314,0.813996434211731,0.8665561676025391,0.8739697933197021,0.18393094837665558,0.7363228797912598,0.0001869585830718279
2,0.4315704107284546,1e-04,0.1728462129831314,0.8368527889251709,0.862230658531189,2.818166971206665,0.18393094837665558,0.0,0.0
3,0.3941161036491394,1e-04,0.1728462129831314,0.8521850109100342,0.8764579892158508,3.1604459285736084,0.18393094837665558,0.0,0.0
4,0.35672566294670105,1e-04,0.17284618318080902,0.8711944222450256,0.8868982791900635,3.7048497200012207,0.18393094837665558,0.0,0.0
5,0.33820003271102905,1e-04,0.17284618318080902,0.8815892934799194,0.8982884883880615,3.02048921585083,0.18393094837665558,1.0,1.9128527128486894e-05
6,0.2737734019756317,1e-05,0.1728462129831314,0.9138767719268799,0.9124149680137634,1.748801589012146,0.18393094837665558,0.9924336671829224,0.03999433293938637
7,0.2585270404815674,1e-05,0.17284618318080902,0.9175934195518494,0.9181686639785767,0.9973710775375366,0.18393094837665558,0.9286578893661499,0.28099122643470764
8,0.26282998919487,1e-05,0.1728462129831314,0.9133356809616089,0.922963559627533,0.5827944874763489,0.18393094837665558,0.8886743783950806,0.6312671303749084
9,0.2478625625371933,1e-05,0.1728462129831314,0.9245967268943787,0.9212974309921265,0.40111085772514343,0.18393094837665558,0.8785999417304993,0.8189899325370789
